-1.8615,0.7316,0.62503,-0.69461,0.48938,-4.3619,-4.7256,-4.8886,-6.0802,-4.0135,-5.6039,0.34814,-2.3645,-1.524,-1.0437,-2.054,-1.7301,-3.818,-4.2642,-4.513,-5.0228,-3.6943,-4.4068,-2.1667
1.058,0.33959,0.4018,0.68799,0.50714,1.378,1.4901,1.6347,1.9102,1.3119,1.6594,0.45087,1.1312,0.85684,0.9314,0.95786,1.039,1.2763,1.4154,1.4089,1.5417,1.2542,1.438,0.97869
-0.70474,-2.2777,-2.4357,-1.6018,-2.2143,0.68519,0.94017,2.2756,2.7291,0.37585,1.6881,-2.0847,-0.4604,-1.1828,-1.1055,-0.89672,-0.76579,0.22101,0.62608,0.83968,1.1664,0.12804,0.72036,-0.83472
1.8871,-11.472,-5.9342,-8.3079,-4.9088,2.1341,9.6673,9.5245,18.314,0.71054,13.199,-10.559,3.0349,-6.3887,0.076434,-5.0757,1.6014,0.025841,8.1644,2.8565,10.731,-0.38022,8.6134,-4.7855
0.24705,-17.052,-7.1205,-11.485,-5.9509,-1.5296,6.5737,4.4971,20.795,-2.631,10.314,-15.075,1.0698,-9.1778,-1.1814,-7.8006,0.045582,-3.1989,5.2128,-0.99422,7.602,-3.5459,5.6097,-7.5117
-0.010229,-6.3934,-2.536,-5.3228,-2.2373,-0.69412,3.4881,1.8653,6.6512,-1.3828,4.8903,-6.1039,0.50671,-4.5886,-0.62948,-4.0534,-0.10592,-1.7269,2.8486,-0.3521,3.9253,-1.9311,3.0422,-3.9316
-5.2149,-2.8044,-4.925,-2.5205,-5.1637,1.2767,-2.7565,-0.41535,1.539,0.5056,-0.99237,-2.7634,-4.9979,-2.1551,-5.4403,-1.8208,-5.26,0.14423,-3.397,1.6877,-2.2621,-0.062356,-3.2131,-1.7375
4.2005,5.126,9.7494,3.8371,9.2227,0.025544,1.7587,-5.2105,9.8608,0.53199,3.9708,4.7899,3.3277,2.9471,5.6754,2.336,4.4252,0.58997,1.1669,-0.56662,2.8195,0.65515,1.2518,2.2038
3.7813,2.7206,7.1385,1.5853,6.677,-2.2669,0.87321,-5.0751,-2.0081,-1.7277,-0.32732,2.3939,3.3294,0.89338,4.5304,0.42504,3.8953,-1.4596,1.4084,-2.5385,0.50616,-1.2992,1.2466,0.32103
7.9156,5.3788,17.815,3.0601,15.366,-4.6077,2.0751,-10.63,-3.6848,-3.5266,-0.28679,4.7046,6.9781,1.6698,9.5197,0.72649,8.1551,-2.9936,3.1289,-5.1574,1.3445,-2.6758,2.8113,0.52113
0.022844,0.38212,1.2018,0.5276,1.0577,-0.35074,-0.42147,-1.2559,0.03948,-0.17806,-0.25539,0.46815,-0.047055,0.43147,0.24165,0.30946,0.04913,-0.1132,-0.3545,-0.45119,-0.42321,-0.083491,-0.38161,0.27816
0.051325,0.51651,0.92024,0.51007,0.81932,-0.28574,-0.43584,-1.0157,0.068586,-0.14846,-0.48178,0.5449,-0.0086699,0.38818,0.22102,0.27318,0.072428,-0.095728,-0.33477,-0.36515,-0.48198,-0.070792,-0.36867,0.2465
