-8.3734,-4.0234,-2.4994,9.9434,3.3295,4.4719,9.2923,-1.8163,7.4734,-53.248,NaN,NaN
-0.7708,3.0479,-1.1178,5.6851,-0.86744,4.9879,-0.39615,3.6195,-0.52943,0.60987,NaN,NaN
-1.5268,-3.6826,-1.1728,-0.1927,-0.054757,1.8264,2.5114,3.0954,2.0866,-0.99334,NaN,NaN
-6.144,-13.53,-4.5595,0.31884,0.070701,8.1653,8.7577,13.767,7.3159,-2.6269,NaN,NaN
-29.734,-4.9973,-4.2373,-0.12693,3.0951,2.8501,49.26,2.8789,1.0336,-9.9862,NaN,NaN
-11.65,-3.0089,-2.7782,-0.60854,2.5439,2.1979,19.845,2.2258,0.98134,-4.8337,NaN,NaN
-1.1074,-1.8689,-0.65913,-0.33704,0.24817,-1.2966,0.42682,-2.9168,NaN,NaN,NaN,NaN
12.498,4.2579,3.161,-29.939,-5.5155,-0.21161,-7.0728,34.56,NaN,NaN,NaN,NaN
-3.65,-4.6135,-1.1148,2.6864,4.5112,-3.1319,2.0696,7.4598,NaN,NaN,NaN,NaN
-7.1758,-10.165,-2.2257,4.8053,8.8684,-6.2124,3.5963,17.65,NaN,NaN,NaN,NaN
-4.8869,-0.0098056,-1.8145,0.023364,-0.89793,0.35299,0.66423,0.014472,2.8037,0.017122,4.9121,-0.42022
-3.0352,0.23282,-1.2667,0.29613,-0.73777,-0.74174,0.32079,0.33526,1.7745,0.27496,2.995,0.10001
